purchase_order_id,order_date,supplier_id,component_id,quantity,received_quantity,defective_quantity,unit_cost_eur,delivery_delay_days,lithium_index,metals_index,industrial_energy_index,supplier_name,country,country_risk,contract_tier,component,commodity_family,standard_unit_cost_eur,commodity_exposure,energy_exposure,actual_spend_eur,standard_spend_eur,ppv_eur,price_variance_pct,defect_rate,on_time,month,anomaly_score,is_anomaly,anomaly_reason
PO-004187,2024-01-01,SUP-034,CMP-003,1065,1065,6,7.48,0,112.0,94.0,118.0,Supplier B09,CN,42,Preferred,Copper busbar,Copper,7.2,0.4,0.11,7966.200000000001,7668.0,298.2000000000007,3.8888888888888973,0.005633802816901409,True,2024-01,0.2073,False,Multivariate exception
PO-000927,2024-01-01,SUP-018,CMP-002,4037,4037,83,4.87,0,112.0,94.0,118.0,Supplier A19,CN,42,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,19660.19,19377.6,282.59000000000015,1.4583333333333393,0.020559821649739907,True,2024-01,0.5044,False,Multivariate exception
PO-001089,2024-01-01,SUP-026,CMP-004,3718,3718,94,84.18,0,112.0,94.0,118.0,Supplier B01,DE,12,Approved,Battery cell,Multi-material,74.0,0.52,0.18,312981.24000000005,275132.0,37849.24000000005,13.756756756756761,0.025282409897794515,True,2024-01,1.7068,False,Multivariate exception
PO-000677,2024-01-01,SUP-012,CMP-005,408,408,3,112.62,-1,112.0,94.0,118.0,Supplier A13,HU,24,Strategic,Battery management system,Electronics,118.0,0.08,0.09,45948.96,48144.0,-2195.040000000001,-4.559322033898305,0.007352941176470588,True,2024-01,0.0,False,Multivariate exception
PO-000419,2024-01-01,SUP-044,CMP-004,2817,2817,130,94.07,1,112.0,94.0,118.0,Supplier B19,DE,12,Approved,Battery cell,Multi-material,74.0,0.52,0.18,264995.19,208458.0,56537.19,27.121621621621617,0.04614838480653177,True,2024-01,3.8867,True,High defect rate
PO-004436,2024-01-01,SUP-028,CMP-004,1693,1693,36,82.17,5,112.0,94.0,118.0,Supplier B03,CN,42,Approved,Battery cell,Multi-material,74.0,0.52,0.18,139113.81,125282.0,13831.809999999998,11.040540540540533,0.021264028352037802,False,2024-01,1.4852,False,Multivariate exception
PO-001001,2024-01-02,SUP-017,CMP-007,5669,5669,59,44.88,2,112.05,94.09,118.06,Supplier A18,PL,19,Approved,Module housing,Aluminium,42.0,0.18,0.26,254424.72,238098.0,16326.720000000001,6.857142857142873,0.010407479273240431,True,2024-01,0.6283,False,Multivariate exception
PO-004615,2024-01-02,SUP-008,CMP-001,1655,1655,20,9.47,-4,112.05,94.09,118.06,Supplier A09,CN,42,Preferred,Anode graphite,Graphite,9.4,0.47,0.13,15672.85,15557.0,115.85000000000036,0.7446808510638281,0.012084592145015106,True,2024-01,0.0,False,Multivariate exception
PO-004670,2024-01-03,SUP-023,CMP-006,4289,4289,49,29.37,-1,112.1,94.17,118.12,Supplier A24,DE,12,Approved,Thermal management plate,Aluminium,28.0,0.16,0.24,125967.93000000001,120092.0,5875.930000000008,4.892857142857143,0.011424574492888785,True,2024-01,0.3397,False,Multivariate exception
PO-003461,2024-01-03,SUP-042,CMP-000,2465,2465,44,35.48,4,112.1,94.17,118.12,Supplier B17,DE,12,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,87458.2,76415.0,11043.199999999997,14.451612903225787,0.017849898580121704,False,2024-01,1.7319,False,High unit-price variance
PO-001574,2024-01-03,SUP-019,CMP-001,2805,2805,46,9.58,4,112.1,94.17,118.12,Supplier A20,DE,12,Approved,Anode graphite,Graphite,9.4,0.47,0.13,26871.9,26367.0,504.90000000000146,1.9148936170212627,0.01639928698752228,False,2024-01,0.6225,False,Multivariate exception
PO-000506,2024-01-03,SUP-026,CMP-004,3152,3152,38,87.14,2,112.1,94.17,118.12,Supplier B01,DE,12,Approved,Battery cell,Multi-material,74.0,0.52,0.18,274665.28,233248.0,41417.28000000003,17.756756756756765,0.012055837563451776,True,2024-01,2.0445,False,High unit-price variance
