purchase_order_id,order_date,supplier_id,component_id,quantity,received_quantity,defective_quantity,unit_cost_eur,delivery_delay_days,lithium_index,metals_index,industrial_energy_index
PO-004187,2024-01-01,SUP-034,CMP-003,1065,1065,6,7.48,0,112.0,94.0,118.0
PO-000927,2024-01-01,SUP-018,CMP-002,4037,4037,83,4.87,0,112.0,94.0,118.0
PO-001089,2024-01-01,SUP-026,CMP-004,3718,3718,94,84.18,0,112.0,94.0,118.0
PO-000677,2024-01-01,SUP-012,CMP-005,408,408,3,112.62,-1,112.0,94.0,118.0
PO-000419,2024-01-01,SUP-044,CMP-004,2817,2817,130,94.07,1,112.0,94.0,118.0
PO-004436,2024-01-01,SUP-028,CMP-004,1693,1693,36,82.17,5,112.0,94.0,118.0
PO-001001,2024-01-02,SUP-017,CMP-007,5669,5669,59,44.88,2,112.05,94.09,118.06
PO-004615,2024-01-02,SUP-008,CMP-001,1655,1655,20,9.47,-4,112.05,94.09,118.06
PO-004670,2024-01-03,SUP-023,CMP-006,4289,4289,49,29.37,-1,112.1,94.17,118.12
PO-003461,2024-01-03,SUP-042,CMP-000,2465,2465,44,35.48,4,112.1,94.17,118.12
PO-001574,2024-01-03,SUP-019,CMP-001,2805,2805,46,9.58,4,112.1,94.17,118.12
PO-000506,2024-01-03,SUP-026,CMP-004,3152,3152,38,87.14,2,112.1,94.17,118.12
PO-000513,2024-01-03,SUP-008,CMP-001,3248,3248,84,9.68,3,112.1,94.17,118.12
PO-000314,2024-01-03,SUP-013,CMP-001,5126,5126,34,9.84,6,112.1,94.17,118.12
PO-003561,2024-01-04,SUP-042,CMP-002,2364,2364,49,5.13,0,112.15,94.26,118.18
PO-000791,2024-01-04,SUP-020,CMP-007,711,711,5,42.9,3,112.15,94.26,118.18
PO-000723,2024-01-04,SUP-040,CMP-000,3609,3609,38,33.13,-1,112.15,94.26,118.18
PO-001170,2024-01-04,SUP-035,CMP-004,4939,4939,30,82.6,5,112.15,94.26,118.18
PO-002039,2024-01-05,SUP-025,CMP-009,3361,3361,152,13.17,2,112.21,94.34,118.25
PO-004416,2024-01-05,SUP-046,CMP-009,5973,5973,93,13.41,3,112.21,94.34,118.25
PO-004433,2024-01-05,SUP-048,CMP-003,5145,5145,16,7.32,0,112.21,94.34,118.25
PO-004488,2024-01-05,SUP-040,CMP-009,1843,1843,12,13.03,3,112.21,94.34,118.25
PO-004471,2024-01-06,SUP-031,CMP-007,5066,5066,97,44.63,1,112.26,94.43,118.31
PO-001849,2024-01-06,SUP-023,CMP-000,396,396,2,34.5,2,112.26,94.43,118.31
PO-003656,2024-01-06,SUP-027,CMP-006,4003,4003,16,28.5,3,112.26,94.43,118.31
PO-000409,2024-01-06,SUP-020,CMP-004,368,368,4,84.75,0,112.26,94.43,118.31
PO-002977,2024-01-06,SUP-004,CMP-003,3994,3994,48,7.04,0,112.26,94.43,118.31
PO-003810,2024-01-06,SUP-017,CMP-006,4178,4178,58,28.56,3,112.26,94.43,118.31
PO-000943,2024-01-07,SUP-045,CMP-001,2202,2202,8,9.34,-2,112.31,94.51,118.37
PO-002072,2024-01-07,SUP-017,CMP-004,2281,2281,59,82.12,0,112.31,94.51,118.37
PO-003722,2024-01-07,SUP-035,CMP-006,3468,3468,36,27.04,2,112.31,94.51,118.37
PO-002945,2024-01-07,SUP-000,CMP-007,5058,5058,116,43.33,2,112.31,94.51,118.37
PO-003445,2024-01-07,SUP-020,CMP-002,3640,3640,28,4.75,0,112.31,94.51,118.37
PO-002753,2024-01-08,SUP-018,CMP-000,367,367,7,35.65,2,112.36,94.6,118.43
PO-001177,2024-01-08,SUP-001,CMP-003,2398,2398,29,6.99,1,112.36,94.6,118.43
PO-001514,2024-01-08,SUP-023,CMP-002,3465,3465,5,5.06,4,112.36,94.6,118.43
PO-000851,2024-01-09,SUP-049,CMP-004,1353,1353,15,87.59,3,112.41,94.68,118.49
PO-000235,2024-01-09,SUP-019,CMP-002,4087,4087,55,5.03,-1,112.41,94.68,118.49
PO-001877,2024-01-09,SUP-027,CMP-000,1031,1031,4,33.71,5,112.41,94.68,118.49
PO-004639,2024-01-09,SUP-022,CMP-004,2731,2731,44,79.58,3,112.41,94.68,118.49
PO-002625,2024-01-09,SUP-037,CMP-007,345,345,1,40.61,8,112.41,94.68,118.49
PO-001553,2024-01-10,SUP-039,CMP-002,2294,2294,20,4.95,-2,112.46,94.77,118.55
PO-003032,2024-01-10,SUP-021,CMP-005,3757,3757,27,127.45,0,112.46,94.77,118.55
PO-000971,2024-01-10,SUP-000,CMP-003,1179,1179,9,7.07,-1,112.46,94.77,118.55
PO-003259,2024-01-10,SUP-041,CMP-009,838,838,12,13.43,3,112.46,94.77,118.55
PO-003147,2024-01-11,SUP-034,CMP-004,4224,4224,35,75.09,0,112.51,94.85,118.61
PO-003721,2024-01-11,SUP-042,CMP-000,424,424,5,36.02,3,112.51,94.85,118.61
PO-001866,2024-01-11,SUP-007,CMP-007,4257,4257,23,43.75,2,112.51,94.85,118.61
PO-000223,2024-01-11,SUP-004,CMP-004,3885,3885,91,82.1,3,112.51,94.85,118.61
