supplier_id,supplier_name,country,country_risk,contract_tier
SUP-000,Supplier A01,HU,24,Preferred
SUP-001,Supplier A02,PL,19,Preferred
SUP-002,Supplier A03,PL,19,Strategic
SUP-003,Supplier A04,KR,21,Approved
SUP-004,Supplier A05,PL,19,Preferred
SUP-005,Supplier A06,DE,12,Preferred
SUP-006,Supplier A07,CN,42,Preferred
SUP-007,Supplier A08,DE,12,Strategic
SUP-008,Supplier A09,CN,42,Preferred
SUP-009,Supplier A10,CN,42,Preferred
SUP-010,Supplier A11,DE,12,Approved
SUP-011,Supplier A12,DE,12,Preferred
SUP-012,Supplier A13,HU,24,Strategic
SUP-013,Supplier A14,CN,42,Approved
SUP-014,Supplier A15,DE,12,Strategic
SUP-015,Supplier A16,DE,12,Approved
SUP-016,Supplier A17,CN,42,Preferred
SUP-017,Supplier A18,PL,19,Approved
SUP-018,Supplier A19,CN,42,Preferred
SUP-019,Supplier A20,DE,12,Approved
SUP-020,Supplier A21,KR,21,Preferred
SUP-021,Supplier A22,DE,12,Preferred
SUP-022,Supplier A23,DE,12,Preferred
SUP-023,Supplier A24,DE,12,Approved
SUP-024,Supplier A25,PT,15,Strategic
SUP-025,Supplier A26,KR,21,Preferred
SUP-026,Supplier B01,DE,12,Approved
SUP-027,Supplier B02,CZ,17,Preferred
SUP-028,Supplier B03,CN,42,Approved
SUP-029,Supplier B04,DE,12,Strategic
SUP-030,Supplier B05,CZ,17,Preferred
SUP-031,Supplier B06,CZ,17,Approved
SUP-032,Supplier B07,CZ,17,Preferred
SUP-033,Supplier B08,KR,21,Approved
SUP-034,Supplier B09,CN,42,Preferred
SUP-035,Supplier B10,KR,21,Strategic
SUP-036,Supplier B11,DE,12,Strategic
SUP-037,Supplier B12,CZ,17,Preferred
SUP-038,Supplier B13,PT,15,Preferred
SUP-039,Supplier B14,PT,15,Preferred
SUP-040,Supplier B15,KR,21,Preferred
SUP-041,Supplier B16,SE,10,Strategic
SUP-042,Supplier B17,DE,12,Approved
SUP-043,Supplier B18,CZ,17,Approved
SUP-044,Supplier B19,DE,12,Approved
SUP-045,Supplier B20,DE,12,Approved
SUP-046,Supplier B21,KR,21,Preferred
SUP-047,Supplier B22,HU,24,Preferred
SUP-048,Supplier B23,PL,19,Preferred
SUP-049,Supplier B24,FI,9,Preferred
SUP-050,Supplier B25,CZ,17,Strategic
SUP-051,Supplier B26,KR,21,Approved
SUP-052,Supplier C01,DE,12,Approved
SUP-053,Supplier C02,CZ,17,Preferred
